Objective Question,Answer,Subjective Question #1,Label 1,Subjective Question #2,Label 2,Subjective Question #3,Label 3
nadir Shah was a ruler of,iran,What country did nadir Shah rule?,1,What country was Nadir Shah a ruler of?,1,What country did nadir Shah rule in?,
some substances can be obtained in pure state from their solutions by,crystallisation,Howsome substances can be obtained in pure state from their?,0,,0,,0
one centimeter is equal to,0.00001 km,How many kilometers is one centimeter?,1,What is the distance in kilometers?,0,What is the distance of one centimeter?,0
wood is an example of,radiator,What type of wood is an example of a radiator?,0,What is an example of a wood product?,0,What is an example of a radiator?,1
"on an average, at rest an adult human being breathes",15-18 times in a minute,How many times in a minute does an adult breathe?,1,How many times in a minute does an average adult breathe?,,How many times in a minute does an adult human breathe?,
the voice having a minimum frequency is that of a,a man,Whose voice has a minimum frequency?,1,A voice having a minimum frequency is that of who?,0,A voice having a minimum frequency is that of what?,1
pEM is caused by the deficiency of,proteins and carbohydrates,pEM is caused by the deficiency of what?,1,What are the two main components of pEM?,0,What are two things that cause pEM?,1
boiling point is the temperature at which,vapour pressure = atmospheric pressure,What does vapour pressure equal?,0,What does vapour pressure mean?,0,What does vapour pressure =?,0
buddha and Mahavira belonged to,kshatriyas,What branch of Buddhism was Mahavira a part of?,0,What type of buddha was Mahavira?,0,What were the kshatriyas?,0
the difference between canopy and understorey is that,understorey is present below canopy,What is the difference between canopy and understorey?,1,What is the difference between a canopy and understorey?,,Understorey is present below canopy and what else?,0
"by friction, we are unable to charge",a copper rod,What is used to charge the rod?,0,What is used to charge?,0,What does friction cause us to charge?,0
doctors use,concave mirrors,What type of mirrors do doctors use?,1,What kind of mirrors do doctors use?,,What type of mirrors are used by doctors?,1
"during an earthquake, we should rush",out in an open field,Where should we go when there is an earthquake?,1,Where should we be?,0,Where should we go when there is a big earthquake?,
marsilea belongs to,pteridophyta,What type of plant is marsilea?,0,What is the name of the phylum of marsilea?,0,What type of phylogenetic group is marsilea?,0
"three cotton bags contain coils of different metals. To find the bag that contains iron coil without touching, we can use",bar magnet,What kind of magnet is used to find the iron coils in a cotton bag?,0,What kind of magnet can be used to find the iron coils in a cotton bag?,1,What type of magnet can be used to find the iron coils in a cotton bag?,
non-stick cookwares have the coating of,teflon,What is the coating of non-stick cookware?,1,What kind of coating does non-stick cookware have?,1,What kind of coating does non-stick cookware use?,
air moves from the region where the air pressure is high to the region where,the pressure is low,Where does the air move from?,1,Where is the air pressure high?,0,Where does air move from?,
regions where growth takes place in plants have,meristem,What is the name of the region where growth occurs in plants?,1,What is the name of the meristem?,0,What is the name of the region where growth takes place?,0
mark the correct consequence of relocation of factories,issues regarding the safety conditions of the workers remain unaddressed,What remains unaddressed after the relocation of factories?,0,What remains unaddressed regarding safety conditions of workers?,0,What remains unaddressed?,0
