Objective Question,Answer,Subjective Question #1,Label 1,Subjective Question #2,Label 2,Subjective Question #3,Label 3
"in United Kingdom and United States, right to vote was given initially to",wealthy people,What was given initially to wealthy people in United Kingdom and United States?,0,Where was right to vote given initially to wealthy people?,1,What was right to vote given initially to in United Kingdom and United States?,0
the period between 1830 to 1857 was considered as Delhi,renaissance,When was the period between 1830 to 1857 considered?,0,When was considered as Delhi renaissance?,0,Was the period between 1830 to 1857 considered as Delhi renaissance?,0
man-made fibres include   i. Nylon   ii. Polyester    iii. Acrylic    iv. Jute   Select the correct answer using the code given below,"i, ii and iii only",,0,,0,,0
mixed cropping is growing,two or more crops simultaneously on the same piece of land in a haphazard manner,Where is mixed cropping growing two or more crops simultaneously in a haphazard manner?,0,How many crops is mixed cropping growing simultaneously on the same piece of land in a haphazard manner?,0,What is mixed cropping growing two or more crops simultaneously on in a haphazard manner?,0
yeasts are used to make wine and beer because they,produce alcohol,What are used to make wine and beer because they produce alcohol?,1,What are yeasts used to make because they produce alcohol?,1,What do yeasts produce?,1
frequency is inversely proportional to,time period,When is inversely proportional to time period?,0,When is frequency inversely proportional?,0,Is frequency inversely proportional to time period?,0
anganwadi system has been functioning in India since,1975,When has anganwadi system been functioning in India?,0,What has been functioning in India since 1975?,0,Has anganwadi system been functioning in India since 1975?,0
rain forest type of vegetation is part of,assam,What is rain forest type of vegetation part of?,0,What is part of assam?,0,What is rain forest type of vegetation?,0
curdling of milk is an example of,irreversible change,What is curdling of milk an example of?,1,What is an example of irreversible change?,1,What is curdling of milk?,0
march-past of soldiers in a parade is a kind of,rectilinear motion,When is a kind of rectilinear motion?,0,What is march-past of soldiers in a parade?,0,What is march-past of soldiers in a parade a kind of?,0
a simple pendulum consists of,small metallic ball suspended from a rigid stand by a flexible string,What consists of small metallic ball suspended from a rigid stand by a flexible string?,1,What does a simple pendulum consist of?,1,Does a simple pendulum consist of small metallic ball suspended from a rigid stand by a flexible string?,0
a human ear can hear sounds of frequency,20 to 20 kHz,What can hear sounds of frequency 20 to 20 kHz?,0,When can a human ear hear sounds?,0,What can a human ear hear?,1
moon always presents same face towards the Earth because it,takes exactly the same time to spin once about its axis,What does same face towards the Earth take exactly?,0,What takes exactly the same time to spin once about its axis?,0,Does same face towards the Earth take exactly the same time to spin once about its axis?,0
"in the buildings, in an earthquake prone region,",the cupboards and shelves should be attached to the walls,What should be attached to the walls in the buildings?,0,What should the cupboards and shelves be attached to the walls in?,0,What should the cupboards and shelves be attached to in the buildings?,0
the ideas of the Upanishads were later developed by the famous thinker,shankaracharya,Who were the ideas of the Upanishads later developed by?,1,What were later developed by the famous thinker shankaracharya?,0,Were the ideas of the Upanishads later developed by the famous thinker shankaracharya?,0
papier-mache is paste made by mixing paper with,clay,What is paste made by mixing paper with clay?,1,Is papier-mache paste made by mixing paper with clay?,0,,
the effect of evaporation on surrounding,makes the surrounding cold,What does the effect of evaporation on surrounding make?,1,What makes the surrounding cold?,0,Does the effect of evaporation on surrounding make the surrounding cold?,0
the process of combustion produces,heat and light,What does the process of combustion produce?,1,What produces heat and light?,0,Does the process of combustion produce heat and light?,0
weather at a place is the day to day condition of atmosphere with respect to,"wind, humidity, rainfall and temperature",What is weather at a place the day to?,0,What is the day to day condition of atmosphere with respect to wind?,0,When is weather at a place to day condition of atmosphere with respect to wind?,0
the Great Wall of China was constructed,before the Mauryan Empire,What was the Great Wall of China constructed before?,0,What was constructed before the Mauryan Empire?,0,Was the Great Wall of China constructed before the Mauryan Empire?,0
findings at Mehrgarh included remains of 4 or more compartmented houses in the shape of a,square,What did findings at Mehrgarh include remains of 4 or more compartmented houses in?,0,What included remains of 4 or more compartmented houses in the shape of a square?,1,What did findings at Mehrgarh include in the shape of a square?,0
rate of diffusion will be fastest when,oxygen is passed in hydrogen,When will be fastest when oxygen is passed in hydrogen?,0,Will rate of diffusion be fastest when oxygen is passed in hydrogen?,0,,0
maldives is situated to the south of,lakshadweep Islands,What is situated to the south of lakshadweep Islands?,0,Where is maldives situated?,0,What is maldives situated to?,0
the word ‘Hind’ was first used by a famous poet named,amir Khusrau,,0,,0,,0
the President of India is elected for a term of,5 years,What is the President of India elected for?,1,Who is elected for a term of 5 years?,0,Is the President of India elected for a term of 5 years?,0
lactic-acid is produced as a by-product during,anaerobic respiration,What is produced as a by-product during anaerobic respiration?,1,What is lactic-acid produced as during anaerobic respiration?,0,What is lactic-acid produced as a by-product during?,0
the given image is showing a deficiency symptom caused due to the deficiency of,vitamin C,What is showing a deficiency symptom caused due to the deficiency of vitamin C?,0,What is the given image showing?,0,Is the given image showing a deficiency symptom caused due to the deficiency of vitamin C?,0
amoeba takes food through,pseudopodia,What takes food through pseudopodia?,0,What does amoeba take through pseudopodia?,0,What does amoeba take food through?,0
"two groups of sclerenchyma cells exist namely, fibres and",sclereids,How many groups of sclerenchyma cells exist namely?,0,What exist namely?,0,Do two groups of sclerenchyma cells exist namely?,0
three kilometres is equal to,3 000 metres,How many kilometres is equal to 3 000 metres?,1,What is equal to 3 000 metres?,0,What is three kilometres equal to?,0
the Right to Water in the Constitution implies,universal access to water,What does the Right to Water in the Constitution imply?,0,What implies universal access to water?,0,Does the Right to Water in the Constitution imply universal access to water?,0
sound is produced when objects,vibrate,What is produced when objects vibrate?,1,Is sound produced when objects vibrate?,0,,0
"impressed by the architecture of the adjoining sultanates, Vijayanagara rulers adopted the construction of",elephant stables,What did Vijayanagara rulers adopt the construction of?,1,What were impressed by the architecture of the adjoining sultanates?,0,What adopted the construction of elephant stables?,0
negative value of  rate of change of velocity of an object signifies,the velocity is decreasing,When does negative value of rate of change of velocity of an object signify is decreasing?,0,What signifies the velocity is decreasing?,0,What does negative value of rate of change of velocity of an object signify?,1
pathogens can enter our body through,"air, water and food","What can pathogens enter through air, water and food?",0,"What can enter our body through air, water and food?",1,What can pathogens enter our body through?,1
light can pass through a,straight hollow pipe,What can pass through a straight hollow pipe?,0,What can light pass through?,0,Can light pass through a straight hollow pipe?,0
"to find the north pole of a bar magnet, we",suspend it freely with the help of a thread,,0,,0,,0
the coal deposits in Ruhr region is an example of,actual resource,What is the coal deposits in Ruhr region?,0,What is the coal deposits in Ruhr region an example of?,1,What is an example of actual resource?,0
we can see partially through,a translucent object,Who can see partially through a translucent object?,0,What can we see partially through?,0,Can we see partially through a translucent object?,0
primary health center deals with,health education,What deals with health education?,0,What does primary health center deal with?,0,Does primary health center deal with health education?,0
"in order to detect the direction, navigators use a",magnetic compass,Who use a magnetic compass in order to detect the direction?,0,What do navigators use in order to detect the direction?,1,What do navigators use a magnetic compass in?,0
privatisation of health services had made it difficult for poor people to get good,health care,Who had made it difficult for poor people to get good health care?,0,What to get good health care?,0,Had privatisation of health services made it difficult for poor people to get good health care?,0
scraping the bark off trees by early man was done by,stone tools,,0,,0,,0
vedic age refers to the period of,aryans,What refers to the period of aryans?,0,When does vedic age refer?,0,Does vedic age refer to the period of aryans?,0
ebony is found in the areas of rainfall,more than 200 cm,What is found in the areas of rainfall more than 200 cm?,1,Where is ebony found?,0,What is ebony found in?,0
akbar designed his administration on the model laid down by the ruler,sher Shah Sur,Who designed his administration on the model laid down by the ruler sher Shah Sur?,1,What did akbar design on the model laid down by the ruler sher Shah Sur?,0,What did akbar design his administration on?,0
safety measures taken by the authorities to minimise the damage by cyclones in coastal areas include,"cyclone forecast and warning service with rapid communication of warnings,   arrangements to move people fast to safer place and   construction of cyclone shelters in cyclone prone areas",What are arrangements?,0,What are warnings?,0,Are warnings arrangements?,0
the leaves of thorny bushes grow in the form of,spines,What do the leaves of thorny bushes grow in?,0,What grow in the form of spines?,0,Do the leaves of thorny bushes grow in the form of spines?,0
a magnet remains unaffected in the presence of,a glass strip,What remains unaffected in the presence of a glass strip?,0,What does a magnet remain unaffected in?,1,Does a magnet remain unaffected in the presence of a glass strip?,0
"two years after the Kalinga war, Ashoka",inscribed his message on the Sarnath pillar,Who inscribed his message on the Sarnath pillar two years after the Kalinga war?,1,When did Ashoka inscribe his message on the Sarnath pillar?,1,What did Ashoka inscribe his message on two years after the Kalinga war?,0
female  Aedes  mosquito carries,dengue virus,What does female Aedes mosquito carry?,0,What carries dengue virus?,0,Does female Aedes mosquito carry dengue virus?,0
the administration of the Mauryan Empire was known from the book,arthashastra,What was the administration of the Mauryan Empire known from?,1,What was known from the book arthashastra?,0,Was the administration of the Mauryan Empire known from the book arthashastra?,0
our constitution ensures Universal Adult Franchise to all its,citizens,What ensures Universal Adult Franchise to all its citizens?,0,Who does our constitution ensure Universal Adult Franchise to?,1,Who does our constitution ensure to all its citizens?,0
the photosynthetic organ of a plant is its,leaf,What is the photosynthetic organ of a plant?,1,What is its leaf?,0,Is the photosynthetic organ of a plant its leaf?,0
"the term cell was coined by Robert Hooke, when he was examining under the microscope the slice of",cork,What was coined by Robert Hooke?,1,Who was the term cell coined by?,1,Was the term cell coined by Robert Hooke?,0
the water vapour in the atmosphere converts into water by,condensation process,What converts into water by condensation process?,0,What does the water vapor in the atmosphere convert into by condensation process?,1,What does the water vapor in the atmosphere convert into water by?,1
a judge of the Supreme Court can be removed through the process of,impeachment,What can a judge of the Supreme Court be removed through?,1,Who can be removed through the process of impeachment?,0,Can a judge of the Supreme Court be removed through the process of impeachment?,0
mangal Pandey attacked his officer in the cantonment of,barrackpore,Who attacked his officer in the cantonment of barrackpore?,1,What did mangal Pandey attack his officer in?,0,Who did mangal Pandey attack in the cantonment of barrackpore?,0
the Baiga tribe belonged to,central India,Where did the Baiga tribe belong?,0,What belonged to central India?,0,What did the Baiga tribe belong to?,1
the vegetation in the mountains varies with altitude. The coniferous trees are found at the altitude of,"1,500 m - 2,500 m","What are found at the altitude of 1,500 m- 2,500 m?",0,What does the vegetation in the mountains vary with?,1,What varies with altitude?,0
frictional force acts in the direction,opposite to the direction of motion,What acts in the direction opposite to the direction of motion?,0,What does frictional force act in the direction opposite to?,1,Does frictional force act in the direction opposite to the direction of motion?,0
desert plants have scale/spine-like leaves to,reduce the loss of water by transpiration,What have scale\/spine-like leaves to reduce the loss of water by transpiration?,0,What have desert plants scale\/spine-like leaves to reduce by transpiration?,0,What have desert plants scale\/spine-like leaves to reduce the loss of by transpiration?,0
our body is a ............... of electricity,conductor,,0,,0,,0
jupiter's red spot is actually a/an,big storm,What is jupiter's red spot actually a\/an?,0,What is actually a\/an big storm?,0,Is jupiter's red spot actually a\/an big storm?,0
all of the given are milk product except,chapati,What are milk product except chapati?,0,What are all of the given except chapati?,0,What are all of the given milk product except?,0
the Prime Minister and the Council of Ministers work on the principle of,collective responsibility,What do the Prime Minister and the Council of Ministers work on?,0,Who work on the principle of collective responsibility?,0,Do the Prime Minister and the Council of Ministers work on the principle of collective responsibility?,0
right to Water is a part of,right to Life,What is a part of right to Life?,0,What is right to Water a part of?,0,What is right to Water?,0
"in an electric torch, switch has a metal strip which can",slide to break or complete the circuit,What has a metal strip which can slide to break or complete the circuit in an electric torch?,0,What does switch have a metal strip which can slide to break or complete the circuit in?,0,What does switch have in an electric torch?,1
a protective diet must include,vitamins and minerals,What must include vitamins and minerals?,0,What must a protective diet include?,0,Must a protective diet include vitamins and minerals?,0
the filament of an electric bulb is made up of,thin conducting wire,What is made up of thin conducting wire?,0,Is the filament of an electric bulb made up of thin conducting wire?,0,,0
most of the beads that were found in Harappa were made of,carnelian,What were most of the beads that were found in Harappa made of?,0,What were made of carnelian?,0,Were most of the beads that were found in Harappa made of carnelian?,0
battery is having,two or more cells connected in such a way that the positive terminal of one cell is connected to the negative terminal of the next,How many cells connected in such a way that the positive terminal of one cell is connected to the negative terminal of the next is battery having?,1,What is battery having?,0,What is having two or more cells connected in such a way that the positive terminal of one cell is connected to the negative terminal of the next?,0
the wool fibre is straightened by the method called,combing,What is straightened by the method called combing?,0,What is the wool fiber straightened by?,1,Is the wool fiber straightened by the method called combing?,0
acid rain is caused due to the oxides of,nitrogen and sulphur,What is caused due to the oxides of nitrogen and sulphur?,1,What is acid rain caused due to?,1,Is acid rain caused due to the oxides of nitrogen and sulphur?,0
bats and dolphins can hear sounds of frequency,"upto 1,200 Hz and 1,500 Hz respectively","What can hear sounds of frequency upto 1,200 Hz and 1,500 Hz respectively?",0,"What can bats and dolphins hear sounds of 1,200 Hz and 1,500 Hz respectively?",1,What can bats and dolphins hear?,0
electric fuse contains wire that,can melt only on passage of electric current of high voltage,What contains wire that can melt only on passage of electric current of high voltage?,0,What does electric fuse contain?,1,Does electric fuse contain wire that can melt only on passage of electric current of high voltage?,0
nadir Shah was a ruler of,iran,Who was a ruler of iran?,0,What was nadir Shah a ruler of?,0,What was nadir Shah?,1
some substances can be obtained in pure state from their solutions by,crystallisation,What can be obtained in pure state from their solutions by crystallisation?,0,What can some substances be obtained in pure state from their solutions by?,0,What can some substances be obtained in from their solutions by crystallisation?,0
one centimeter is equal to,0.00001 km,What is equal to 0. 00001 km?,0,What is one centimeter equal to?,0,Is one centimeter equal to 0. 00001 km?,0
wood is an example of,radiator,What is an example of radiator?,1,What is wood an example of?,0,What is wood?,0
"on an average, at rest an adult human being breathes",15-18 times in a minute,When do at rest an adult human being breathes 15-18 times on an average?,0,What rest an adult human being breathes 15-18 times in a minute on an average?,0,What do at rest an adult human being breathes 15-18 times in a minute on?,0
the voice having a minimum frequency is that of a,a man,What is the voice having a minimum frequency?,0,Who is the voice having a minimum frequency that of?,0,What is that of a a man?,0
pEM is caused by the deficiency of,proteins and carbohydrates,What is caused by the deficiency of proteins and carbohydrates?,1,What is pEM caused by?,0,Is pEM caused by the deficiency of proteins and carbohydrates?,0
boiling point is the temperature at which,vapour pressure = atmospheric pressure,What is the temperature at which vapor pressure = atmospheric pressure?,1,What is boiling point?,0,Is boiling point the temperature at which vapor pressure = atmospheric pressure?,0
buddha and Mahavira belonged to,kshatriyas,Who belonged to kshatriyas?,0,Who did buddha and Mahavira belong to?,0,Did buddha and Mahavira belong to kshatriyas?,0
