,Objective Question,Original Answer,Sub Ques 1 ,Label 1,Sub Ques 2,Label 2,Sub Ques 3,Label 3,,,,,,,,,,,,,,,,,,,
25,people in both Japan and India eat very little meat.  A study of these cultures would show that,"although these cultures have similar practices, the reasons for these practices differ",What do people in both Japan and India eat?,1,What eat very little meat?,0,What have similar practices?,0,,,,,,,,,,,,,,,,,,,
26,Which would represent the greatest loss to a professional wine taster or chef?,olfactory loss,What would represent the greatest loss to a professional wine taster or chef?,1,What would which represent to a professional wine taster or chef?,0,Who would which represent the greatest loss to?,0,,,,,,,,,,,,,,,,,,,
27,"the earliest survey studies of the effect of the media on public opinion, which evaluated itsimpact on voting behavior, offered",the minimal effects hypothesis,What offered the minimal effects hypothesis?,1,Did the earliest survey studies of the effect of the media on public opinion offer the minimal effects hypothesis?,0,,,,,,,,,,,,,,,,,,,,,
28,The rights of accused persons included in the Bill of Rights were originally intended to protectthe accused in,political arrests and trials,What were originally intended to protectthe accused in political arrests and trials?,1,Were the rights of accused persons included in the Bill of Rights originally intended to protectthe accused in political arrests and trials?,0,,,,,,,,,,,,,,,,,,,,,
29,Which statement about women under Islam is CORRECT?,women were expected to be modest and to obey their fathers or husbands,Who were expected to obey their fathers or husbands?,1,Who were expected to be modest?,1,Were women expected to obey their fathers or husbands?,0,,,,,,,,,,,,,,,,,,,
30,retreat from reality by hallucinations and delusions and by social withdrawal typically characterizes,psychotic disorders,,0,,0,,0,,,,,,,,,,,,,,,,,,,
31,the three techniques used for brainwashing identified by McConnell are,"isolation, dependency, and reward","How many techniques used for brainwashing identified by McConnell are isolation, dependency, and reward?",0,What are the three techniques used for brainwashing identified by McConnell?,1,"What are isolation, dependency, and reward?",1,,,,,,,,,,,,,,,,,,,
32,language is termed productive if it,is capable of generating new ideas and possibilities,What is termed productive if it is capable of generating new ideas and possibilities?,0,Is language termed productive if it is capable of generating new ideas and possibilities?,0,,,,,,,,,,,,,,,,,,,,,
33,"according to Gould, a ""crisis of questions, "" where an individual ponders the meaning of life, occurs during",early adulthood,"When does a ``crisis of questions,'' where an individual ponders the meaning of life, occur?",1,What occurs during early adulthood?,1,"Does a ``crisis of questions,'' where an individual ponders the meaning of life, occur during early adulthood?",0,,,,,,,,,,,,,,,,,,,
34,the relaxation of tensions between the United States and the Soviet Union throughout the1970s was known asÂ´,detente,What was the relaxation of tensions between the United States and the Soviet Union throughout the1970s known?,1,What was known asA detente?,1,Was the relaxation of tensions between the United States and the Soviet Union throughout the1970s known asA detente?,0,,,,,,,,,,,,,,,,,,,
35,the first and only place in which the idea of equality appears in the Constitution is in the,Fourteenth Amendment,What is in the Fourteenth Amendment?,1,What is the first and only place in which the idea of equality appears in the Constitution in?,0,Is the first and only place in which the idea of equality appears in the Constitution in the Fourteenth Amendment?,0,,,,,,,,,,,,,,,,,,,
36,goods and services produced and sold illegally are,excluded from GDP,What are excluded from GDP?,1,What are goods and services sold illegally excluded from?,1,What are goods and services produced excluded from?,0,,,,,,,,,,,,,,,,,,,
37,"In the 1930s, Manchuria became a symbol of Japan\'s?",desire for empire,When did Manchuria become a symbol of Japan's?,0,What became a symbol of Japan's in the 1930s?,1,What did Manchuria become a symbol of in the 1930s?,0,,,,,,,,,,,,,,,,,,,
38,"prior to the 1980 s, the emphasis of the Five-Year Plans in the Soviet Union was on heavy industry.  One result was the",scarcity of consumer goods,What was the emphasis of the Five-Year Plans in the Soviet Union on?,1,What was on heavy industry?,0,What was the scarcity of consumer goods?,0,,,,,,,,,,,,,,,,,,,
39,"to understand personality, trait theorists attempt to",classify traits and discover how they are related to behavior,Who attempt to discover how traits are related to behavior?,1,Who attempt to classify traits?,0,What do trait theorists attempt to classify?,1,,,,,,,,,,,,,,,,,,,
40,exorcism often involved,the use of physical torture,What torture?,0,Do exorcism often involved the use of physical torture?,0,,,,,,,,,,,,,,,,,,,,,
41,Colonial officials often discouraged native peoples from?,practicing traditional customs and rituals,Who often discouraged native peoples from?,0,What did Colonial officials often discourage from?,1,Did Colonial officials often discourage native peoples from?,0,,,,,,,,,,,,,,,,,,,
42,"the Magna Carta, the Glorious Revolution, and the writings of John Locke all contributed to Great Britain s development of",parliamentary democracy,"What does the Magna Carta, the Glorious Revolution, and the writings of John Locke all contributed to Great Britain s development of?",0,"What does the Magna Carta, the Glorious Revolution, and the writings of John Locke all contributed to Great Britain s?",1,What s development of parliamentary democracy?,0,,,,,,,,,,,,,,,,,,,
43,a supply curve slopes upward because,an increase in price gives producers incentive to supply a larger quantity,What slopes upward because an increase in price gives producers incentive to supply a larger quantity?,1,What gives producers incentive to supply a larger quantity?,1,Does a supply curve slope upward because an increase in price gives producers incentive to supply a larger quantity?,0,,,,,,,,,,,,,,,,,,,
44,"during the late 1980 s and early 1990 s, the Soviet Union experienced ethnic tensions that were most similar to those experienced by",Austria-Hungary in the late 19th century,What did the Soviet Union experience in the late 19th century during the late 1980 s and early 1990 s?,1,What experienced ethnic tensions that were most similar to those experienced by Austria-Hungary in the late 19th century during the late 1980 s and early 1990 s?,0,When did the Soviet Union experience ethnic tensions that were most similar to those experienced by Austria-Hungary during the late 1980 s and early 1990 s?,0,,,,,,,,,,,,,,,,,,,
45,Cash crops are important to most African countries because these crops?,can be sold abroad to bring money into the country,What are cash crops important to most African countries because?,0,Where are cash crops important because these crops?,0,What are important to most African countries because these crops?,0,,,,,,,,,,,,,,,,,,,
46,a good that is produced abroad and sold domestically is called,an import,What is a good that is produced abroad and sold domestically called?,1,What is called an import?,1,Is a good that is produced abroad and sold domestically called an import?,0,,,,,,,,,,,,,,,,,,,
47,"When the loss from a business-stealing externality exceeds the gain from a product-variety externality,",there are likely to be too many firms in a monopolistically competitive market,What exceeds the gain from a product-variety externality?,0,What does the loss from a business-stealing externality exceed?,0,Does the loss from a business-stealing externality exceed the gain from a product-variety externality?,0,,,,,,,,,,,,,,,,,,,
48,one similarity between the Five Pillars of Islam and the Ten Commandments is that both,provide a guide to proper ethical and moral behavior,Who is one similarity between the Five Pillars of Islam and the Ten Commandments that both provide?,0,What is that both provide a guide to proper ethical and moral behavior?,0,What is one similarity between the Five Pillars of Islam and the Ten Commandments?,1,,,,,,,,,,,,,,,,,,,
49,"three major ethical concerns of psychological researchers are deception, lasting harm to subjects, and",invasion of privacy,"How many major ethical concerns of psychological researchers are deception, lasting harm to subjects, and invasion of privacy?",0,"What are deception, lasting harm to subjects, and invasion of privacy?",1,What are three major ethical concerns of psychological researchers?,1,,,,,,,,,,,,,,,,,,,
50,the largest racial/ethnic minority group in the United States is,Hispanics,Who is the largest racial\/ethnic minority group in the United States?,1,What is Hispanics?,1,Is the largest racial\/ethnic minority group in the United States Hispanics?,0,,,,,,,,,,,,,,,,,,,
51,the first step in placing information into memory storage is,sensory memory,What is the first step in placing information into memory storage?,1,What is sensory memory?,1,Is the first step in placing information into memory storage sensory memory?,0,,,,,,,,,,,,,,,,,,,
52,americans believe strongly that,people should take personal responsibility for themselves,Who believe strongly that people should take personal responsibility for themselves?,1,Do americans believe strongly that people should take personal responsibility for themselves?,0,,,,,,,,,,,,,,,,,,,,,
53,the   power of the few   in the United States today is likely to refer to,technical experts,What is likely to refer to technical experts?,1,Is the power of the few in the United States today likely to refer to technical experts?,0,,,,,,,,,,,,,,,,,,,,,
54,a disadvantage of telephone public opinion surveys is,both B and C,What is a disadvantage of telephone public opinion surveys?,0,What is both B and C?,0,Is a disadvantage of telephone public opinion surveys both B and C?,0,,,,,,,,,,,,,,,,,,,
55,the conduction of a nerve impulse down the axon is called a(n),action potential,What is the conduction of a nerve impulse down the axon called?,1,What is called a action potential?,1,Is the conduction of a nerve impulse down the axon called a action potential?,0,,,,,,,,,,,,,,,,,,,
56,classical conditioning is most often used to condition,reflexes,What is most often used to condition reflexes?,1,What is classical conditioning most often used to?,0,Is classical conditioning most often used to condition reflexes?,0,,,,,,,,,,,,,,,,,,, 
57,Which is a linkage institution?,none of the above,,0,,0,,0,,,,,,,,,,,,,,,,,,,
58,"Currently, Diego Calabresa is employed by a firm that conducts marketing research and creates ads for other companies that help them target and promote their products to the right markets. Who is Diego's employer?",a marketing service agency,What is Diego Calabresa employed by?,0,What agency?,0,Who is employed by a firm that conducts marketing research and creates ads for other companies that help them target and promote their products to the right markets?,1,,,,,,,,,,,,,,,,,,,
59,What was the significance of the Annapolis meeting?,It issued the original call for the Constitutional Convention in Philadelphia,What issued the original call for the Constitutional Convention in Philadelphia?,1,Where did the significance of the Annapolis meeting issue the original call for the Constitutional Convention?,0,What did the significance of the Annapolis meeting issue in Philadelphia?,0,,,,,,,,,,,,,,,,,,,
60,an increase in expected inflation shifts the,short-run Phillips curve right,What shifts the short-run Phillips curve right?,1,What does an increase in expected inflation shift right?,0,Does an increase in expected inflation shift the short-run Phillips curve right?,0,,,,,,,,,,,,,,,,,,,
61,"the revolt in Hungary (1956), the demonstrations in Czechoslovakia (1968), and the formation of solidarity in Poland (1980 s) are similar in that they",represented a challenge to communist leadership,"What is the demonstrations in Czechoslovakia, and the formation of solidarity in Poland?",0,What are similar in that they represented a challenge to communist leadership?,1,What is Hungary?,0,,,,,,,,,,,,,,,,,,,
62,"if labor in Mexico is less productive than labor in the United States in all areas of production,",both nations can benefit from trade,"If labor in Mexico is less productive than labor in the United States in all areas of production, what can benefit from trade?",0,"If labor in Mexico is less productive than labor in the United States in all areas of production, what can both nations benefit from?",1,"If labor in Mexico is less productive than labor in the United States in all areas of production, can both nations benefit from trade?",0,,,,,,,,,,,,,,,,,,,
63,"if Diane receives an increase in her pay, we would expect Diane’s demand for",for normal goods to increase,"If Diane receives an increase in her pay, who would expect Diane's demand for for normal goods to increase?",0,"If Diane receives an increase in her pay, what would we expect to increase?",1,"If Diane receives an increase in her pay, whose demand for for normal goods would we expect to increase?",0,,,,,,,,,,,,,,,,,,,
64,"When we are studying the behavior of buyers, we are studying",demand,Who are we studying the behavior of?,0,Who are studying the behavior of buyers?,0,Who are studying demand?,0,,,,,,,,,,,,,,,,,,,
65,all subgovernments have the same goal,protecting their self-interest,Who have the same goal protecting their self-interest?,1,What do all subgovernments have?,0,Do all subgovernments have the same goal protecting their self-interest?,0,,,,,,,,,,,,,,,,,,,
66,difference thresholds,occur when we can detect the change in the intensity of a stimulus,What occur when we can detect the change in the intensity of a stimulus?,1,Do difference thresholds occur when we can detect the change in the intensity of a stimulus?,0,,,,,,,,,,,,,,,,,,,,,
67,"in India, the people have resisted changing their attitudes toward the caste system because",the Hindu beliefs of karma and dharma reinforce the caste system,Where have the people resisted changing their attitudes toward the caste system because the Hindu beliefs of karma and dharma reinforce the caste system?,1,What have the people resisted changing their attitudes toward the caste system because the Hindu beliefs of karma and dharma reinforce the caste system in?,0,What have resisted changing their attitudes toward the caste system because the Hindu beliefs of karma and dharma reinforce the caste system in India?,0,,,,,,,,,,,,,,,,,,,
68,an appreciation of the real exchange rate for the dollar,decreases the quantity of dollars demanded in the market for foreign-currency exchange,What does an appreciation of the real exchange rate for the dollar decrease?,1,What decreases the quantity of dollars demanded in the market for foreign-currency exchange?,1,What does an appreciation of the real exchange rate for the dollar decrease the quantity of?,0,,,,,,,,,,,,,,,,,,,
69,"the Koran, jihad, and the hegira are most closely associated with the practice of",Islam,What are most closely associated with the practice of Islam?,1,"What are the Koran, jihad, and the hegira most closely associated with?",1,"Are the Koran, jihad, and the hegira most closely associated with the practice of Islam?",0,,,,,,,,,,,,,,,,,,,
70,the expansion of communism into Eastern Europe was a direct result of,World War II,What was a direct result of World War II?,1,What was the expansion of communism into Eastern Europe?,0,What was the expansion of communism into Eastern Europe a direct result of?,1,,,,,,,,,,,,,,,,,,,
71,for the economy as a whole,income must equal expenditure,What must equal expenditure for the economy as a whole?,1,What must income equal for the economy as a whole?,1,What must income equal expenditure for?,0,,,,,,,,,,,,,,,,,,,
72,"suppose that the central bank must follow a rule that requires it to increase the money supply when the price level falls and decrease the money supply when the price level rises. If the economy starts from long-run equilibrium and aggregate supply shifts right, the central bank must","increase the money supply, which will move output further from its long-run level","If the economy starts from long-run equilibrium, what must increase the money supply?",0,"If the economy starts from long-run equilibrium, what must the central bank increase?",1,"If aggregate supply shifts right, what must increase the money supply?",0,,,,,,,,,,,,,,,,,,,
73,What was one reason the Nazi programs and policies of the early 1930 s appealed to many people in Germany?,the people were frustrated with their current economic and political situation,What were frustrated with their current economic and political situation?,0,What were the people frustrated with?,1,Were the people frustrated with their current economic and political situation?,0,,,,,,,,,,,,,,,,,,,
74,a demand curve is the,downward-sloping line relating the price of the good with the quantity demanded,What is the downward-sloping line relating the price of the good with the quantity demanded?,1,What is a demand curve?,1,Is a demand curve the downward-sloping line relating the price of the good with the quantity demanded?,0,,,,,,,,,,,,,,,,,,,
75,a major result of the Age of Exploration was,the end of regional isolation and the beginning of a period of European global domination,What was a major result of the Age of Exploration?,1,What was a major result of the Age of Exploration the end of?,0,What was the end of regional isolation and the beginning of a period of European global domination?,1,,,,,,,,,,,,,,,,,,,
76,the process of changing your behavior to match that of others in a group is,conformity,What is conformity?,1,Is the process of changing your behavior to match that of others in a group conformity?,0,,,,,,,,,,,,,,,,,,,,,
77,"a corporation has a price of $25, a dividend of $.50, and retained earnings of $.30 per share. The dividend yield on this stock is",2 percent,What retained earnings of $. 30 per share?,0,What did a corporation retain earnings of?,1,What does a corporation have a price of?,0,,,,,,,,,,,,,,,,,,,
78,Which is generally a characteristic of a communist economy?,government agencies are involved in production planning,What is generally a characteristic of a communist economy?,1,What is which generally a characteristic of?,0,What are involved in production planning?,1,,,,,,,,,,,,,,,,,,,
79,the problems of observers seeing only what they expect to see is called,observer bias,What is the problems of observers seeing only what they expect to see called?,1,Is the problems of observers seeing only what they expect to see called observer bias?,0,What is called observer bias?,1,,,,,,,,,,,,,,,,,,,
80,"in addition to fighting segregation and discrimination, civil rights interest groups have alsofocused on",broader economic problems,What have alsofocused on broader economic problems in addition to fighting segregation and discrimination?,1,What have civil rights interest groups alsofocused on broader economic problems in?,0,What have civil rights interest groups alsofocused on in addition to fighting segregation and discrimination?,0,,,,,,,,,,,,,,,,,,,
81,the Masters and Johnson studies differed from earlier studies because they included,observations of actual sexual behaviors,What did the Masters and Johnson studies differ from because they included observations of actual sexual behaviors?,0,What differed from earlier studies because they included observations of actual sexual behaviors?,1,Did the Masters and Johnson studies differ from earlier studies because they included observations of actual sexual behaviors?,0,,,,,,,,,,,,,,,,,,,
82,Approximately what percentage of the annual federal budget pays interest on the nationaldebt?,9,,0,,0,,0,,,,,,,,,,,,,,,,,,,
83,"one similarity between the Ancient African kingdoms of Egypt, Ghana, Mali and Songhai is that all of these kingdoms were located",on major trading routes,"Where is one similarity between the Ancient African kingdoms of Egypt, Ghana, Mali and Songhai?",1,"What is one similarity between the Ancient African kingdoms of Egypt, Ghana, Mali and Songhai on?",0,"Where is one similarity between the Ancient African kingdoms of Egypt, Ghana, Mali and Songhai that all of these kingdoms were located?",0,,,,,,,,,,,,,,,,,,,
84,"Karen smokes two packs of cigarettes a day. However, she is aware that smoking is harmful to her health; therefore, she holds two conflicting or dissonant thoughts. If Karen were to reduce her cognitive dissonance by changing her attitude, she might say to herself,","""Smoking really isn't that dangerous.""",How many packs of cigarettes a day does Karen smoke?,0,What smokes two packs of cigarettes a day?,0,What does Karen smoke two packs of?,0,,,,,,,,,,,,,,,,,,,
85,the Federal Election Campaign Act,required all candidates for federal office to disclose all contributions made to their campaigns,Who did the Federal Election Campaign Act require to disclose all contributions made to their campaigns?,1,What required all candidates for federal office to disclose all contributions made to their campaigns?,1,What did the Federal Election Campaign Act require all candidates for federal office to disclose?,1,,,,,,,,,,,,,,,,,,,
86,the most pervasive characteristic of American international economic policy is,pluralism,What is the most pervasive characteristic of American international economic policy?,1,What is pluralism?,1,Is the most pervasive characteristic of American international economic policy pluralism?,0,,,,,,,,,,,,,,,,,,,
87,"From Stetin in the Baltic to Trieste in the Adriatic, an Iron Curtain has descended across the continent. Behind that line lie all the capitals of the ancient states of Central and Eastern Europe. Warsaw, Berlin, Prague, Vienna, Budapest, Belgrade, Bucharest and Sofia, all these famous cities and the populations around them lie in what I might call the Soviet Sphere, and all are subject, in one form or another, not only to Soviet influence, but to very high, and in some cases increasing measure of control from Moscow.""",The Soviet Union has expanded its influence throughout Eastern Europe,Who has an Iron Curtain descended across the continent from?,1,What has descended across the continent from Stetin in the Baltic to Trieste in the Adriatic?,1,What do all the capitals of the ancient states of Central and Eastern Europe lie behind?,0,,,,,,,,,,,,,,,,,,,
88,barter,None of the above is correct,What is correct?,0,Is barter None of the above correct?,0,,,,,,,,,,,,,,,,,,,,,
89,You are daydreaming in the middle of a lecture. Are you actually thinking?,"Yes, you are thinking and daydreaming is an example of cognition",Where are you daydreaming?,0,Who is daydreaming in the middle of a lecture?,0,What are you daydreaming in?,0,,,,,,,,,,,,,,,,,,,
90,What should policymakers do if they wish to encourage production (such as medical research) that provides a positive externality?,provide subsidies to firms engaged in medical research,,0,,0,,0,,,,,,,,,,,,,,,,,,,
91,"in long-run equilibrium, a perfectly competitive firm produces the level of output at which",average total cost is at a minimum,What does a perfectly competitive firm produce at which average total cost is at a minimum in long-run equilibrium?,0,What produces the level of output at which average total cost is at a minimum in long-run equilibrium?,1,What does a perfectly competitive firm produce the level of output at which average total cost is at a minimum in?,0,,,,,,,,,,,,,,,,,,,
92,a major contribution of the Roman Republic to Western European culture was the,concept of government by laws,What was the concept of government by laws?,1,What was a major contribution of the Roman Republic to Western European culture by laws?,1,What was a major contribution of the Roman Republic to Western European culture the concept of by laws?,0,,,,,,,,,,,,,,,,,,,
93,two students are suspected of cheating together on an exam. If both confess they each get an F on the exam. If one confesses she gets an F in the course and the other student is expelled. If neither student confesses there is no penalty. Considering only these consequences a student should,confess if he is certain the other will confess,How many students are suspected of cheating together on an exam?,1,Who are suspected of cheating together on an exam?,0,If both confess what get an F on the exam?,0,,,,,,,,,,,,,,,,,,,
94,a price floor is binding if it is,higher than the equilibrium market price,What is binding if it is higher than the equilibrium market price?,1,Is a price floor binding if it is higher than the equilibrium market price?,0,,,,,,,,,,,,,,,,,,,,,
95,Baker Enterprises produces several new products that have low appeal but may benefit consumers in the long run. What is the most accurate classification of these products?,salutary,What does Baker Enterprises produce?,1,Who produces several new products that have low appeal but may benefit consumers in the long run?,1,Does Baker Enterprises produce several new products that have low appeal but may benefit consumers in the long run?,0,,,,,,,,,,,,,,,,,,,
96,some scholars have suggested that a consequence of separation of powers and checks and balances has been,fragmented policymaking processes,Who have suggested that a consequence of separation of powers and checks and balances has been fragmented policymaking processes?,1,What have some scholars suggested that a consequence of separation of powers and checks and balances has been fragmented?,0,What have some scholars suggested?,,,,,,,,,,,,,,,,,,,,
97,a key question that confronts government regarding different public policy choices is,whether or not government should do anything about them,What should do anything about different public policy choices?,1,What should government do about different public policy choices?,0,What should government do anything about?,0,,,,,,,,,,,,,,,,,,,
98,feudalism in Western Europe was similar to feudalism in Japan in that,power was based on class relationships,What was similar to feudalism in Japan in that power was based on class relationships?,1,Was feudalism in Western Europe similar to feudalism in Japan in that power was based on class relationships?,0,,,,,,,,,,,,,,,,,,,,,
99,"according to this scenario, if Holland imposes a $15 tariff on scanners, the result in Holland would be that the price of scanners will be",$125 and the quantity purchased will fall,,0,,0,,0,,,,,,,,,,,,,,,,,,,
100,"one similarity between Axum, Kush, and Nubia was that they were",early civilizations in Africa,"What was one similarity between Axum, Kush, and Nubia that they were?",1,What was that they were early civilizations in Africa?,0,"Was one similarity between Axum, Kush, and Nubia that they were early civilizations in Africa?",0,,,,,,,,,,,,,,,,,,,
101,An amateur video showing the result of mixing Diet Coke with Mentos candies exemplifies which growing trend in advertising?,consumer-generated messages,What does an amateur video showing the result of mixing Diet Coke with Mentos candies exemplify?,1,What exemplifies which growing trend in advertising?,0,Does an amateur video showing the result of mixing Diet Coke with Mentos candies exemplify which growing trend in advertising?,0,,,,,,,,,,,,,,,,,,,
102,"according to the Constitution, once impeached, federal officials are then tried in the",Senate,Who are then tried in the Senate?,0,What are federal officials then tried in?,0,Are federal officials then tried in the Senate?,0,,,,,,,,,,,,,,,,,,,
103,"in order for the Supreme Court to hear oral arguments or decide a case on the written record,",four justices must agree to take the case,How many justices must agree to take the case in order for the Supreme Court to hear oral arguments or decide a case on the written record?,1,What must agree to take the case in order for the Supreme Court to hear oral arguments or decide a case on the written record?,1,What must four justices agree to take the case in?,0,,,,,,,,,,,,,,,,,,,
104,"When bureaucrats are asked to execute orders with which they do not agree,",slippage is likely to occur between policy decisions and performance,What is likely to occur between policy decisions and performance?,0,Who are asked to execute orders with which they do not agree?,0,What are bureaucrats asked to execute with which they do not agree?,0,,,,,,,,,,,,,,,,,,,
105,one way to describe the distribution of income in the economy is to,calculate the percentage of families that fall into each of seven income categories,What is to calculate the percentage of families that fall into each of seven income categories?,0,Is one way to describe the distribution of income in the economy to calculate the percentage of families that fall into each of seven income categories?,0,,,,,,,,,,,,,,,,,,,,,
