,Original Ques,Original Answer,PreProcessed Question,PreProcessed Answer,Subjective Question - 1,Subjective Question - 2,Subjective Question - 3,Marker,Label1,Label2,Label3
49,"three major ethical concerns of psychological researchers are deception, lasting harm to subjects, and",invasion of privacy,"three major ethical concerns of psychological researchers are deception, lasting harm to subjects, and",invasion of privacy,What is a major ethical concern of psychological researchers?,What are the ethical issues in psychological research?,What are the 4 main ethical concerns for psychologists?,,1,1,1
50,the largest racial/ethnic minority group in the United States is,Hispanics,the largest racial/ethnic minority group in the United States is,Hispanics,What is the largest racial/ethnic minority group in the United States?,,,RULE BASED,1,0,0
51,the first step in placing information into memory storage is,sensory memory,the first step in placing information into memory storage is,sensory memory,What is the first step in placing information into memory storage?,,,RULE BASED,1,1,0
52,americans believe strongly that,people should take personal responsibility for themselves,americans believe strongly that,people should take personal responsibility for themselves,What do americans believe that people should do?,What are the most important American values?,What are the American values and beliefs?,,1,1,1
53,the   power of the few   in the United States today is likely to refer to,technical experts,the   power of the few   in the United States today is likely to refer to,technical experts,,,,RULE BASED,0,0,0
54,a disadvantage of telephone public opinion surveys is,both B and C,a disadvantage of telephone public opinion surveys is,both B and C,What is a disadvantage of telephone public opinion surveys?,,,RULE BASED,1,0,0
55,the conduction of a nerve impulse down the axon is called a(n),action potential,the conduction of a nerve impulse down the axon is called a(n),action potential,What is the conduction of a nerve impulse down the axon called?,What is the process of action potential conduction along the axon called?,How a nerve impulse travels down an axon?,,1,1,1
56,classical conditioning is most often used to condition,reflexes,classical conditioning is most often used to condition,reflexes,Are reflexes classical conditioning?,What is a reflex according to classical conditioning?,Is the classical conditioning of a reflex response?,,1,1,1
57,Which is a linkage institution?,none of the above,Which is a linkage institution?,none of the above,Which is a linkage institution?,,,,1,,
58,"Currently, Diego Calabresa is employed by a firm that conducts marketing research and creates ads for other companies that help them target and promote their products to the right markets. Who is Diego's employer?",a marketing service agency,"Currently, Diego Calabresa is employed by a firm that conducts marketing research and creates ads for other companies that help them target and promote their products to the right markets. Who is Diego's employer?",a marketing service agency,"Currently, Diego Calabresa is employed by a firm that conducts marketing research and creates ads for other companies that help them target and promote their products to the right markets. Who is Diego's employer?",,,,1,,
59,What was the significance of the Annapolis meeting?,It issued the original call for the Constitutional Convention in Philadelphia,What was the significance of the Annapolis meeting?,It issued the original call for the Constitutional Convention in Philadelphia,What was the significance of the Annapolis meeting?,,,,1,,
60,an increase in expected inflation shifts the,short-run Phillips curve right,an increase in expected inflation shifts the,short-run Phillips curve right,What did an increase in expect inflation?,,,RULE BASED,0,0,0
61,"the revolt in Hungary (1956), the demonstrations in Czechoslovakia (1968), and the formation of solidarity in Poland (1980 s) are similar in that they",represented a challenge to communist leadership,"the revolt in Hungary (1956), the demonstrations in Czechoslovakia (1968), and the formation of solidarity in Poland (1980 s) are similar in that they",represented a challenge to communist leadership,Did the protests in Hungary represent a challenge to communist leadership?,How did the Soviet Union respond to revolts in Hungary and Czechoslovakia?,What happened in the Hungarian revolution of 1956?,,1,0,1
62,"if labor in Mexico is less productive than labor in the United States in all areas of production,",both nations can benefit from trade,"if labor in Mexico is less productive than labor in the United States in all areas of production,",both nations can benefit from trade,What is the benefit of trade between Mexico and the United States?,Is there a possible trade that benefits both countries?,When it is said that trade between nations can make both sides of the trade better off this means that all citizens in each nation will benefit?,,1,1,0
63,"if Diane receives an increase in her pay, we would expect Diane’s demand for",for normal goods to increase,"if Diane receives an increase in her pay, we would expect Diane’s demand for",for normal goods to increase,"if Diane receives an increase in her pay , what does we would expect Diane ’ s demand for?",,,RULE BASED,1,0,0
64,"When we are studying the behavior of buyers, we are studying",demand,"When we are studying the behavior of buyers, we are studying",demand,"When we are studying the behavior of buyers, we are studying",,,,1,,
65,all subgovernments have the same goal,protecting their self-interest,all subgovernments have the same goal,protecting their self-interest,What is the goal of all subgovernments?,Is an organization of people with similar goals that seek to achieve their goals by entering the political process?,What is the most common function of lobbyists?,,1,0,0
66,difference thresholds,occur when we can detect the change in the intensity of a stimulus,difference thresholds,occur when we can detect the change in the intensity of a stimulus,When do difference thresholds occur?,How is our threshold for detecting differences affected by the magnitude of the stimuli?,How is difference threshold measured?,,1,1,1
67,"in India, the people have resisted changing their attitudes toward the caste system because",the Hindu beliefs of karma and dharma reinforce the caste system,"in India, the people have resisted changing their attitudes toward the caste system because",the Hindu beliefs of karma and dharma reinforce the caste system,"in India , why the people have resisted changing their attitudes toward the caste system?",,,RULE BASED,1,0,0
68,an appreciation of the real exchange rate for the dollar,decreases the quantity of dollars demanded in the market for foreign-currency exchange,an appreciation of the real exchange rate for the dollar,decreases the quantity of dollars demanded in the market for foreign-currency exchange,What does an appreciation of the real exchange rate for the dollar do?,What is an appreciation in the exchange rate?,What does appreciation of real exchange rate mean?,,1,1,1
69,"the Koran, jihad, and the hegira are most closely associated with the practice of",Islam,"the Koran, jihad, and the hegira are most closely associated with the practice of",Islam,"The Koran, jihad, and hegira are closely associated with what practice?",Which of the following practices the Koran Jihad and the Hegira are most closely associated with?,Which practice is most closely associated with a person of the Islamic faith *?,,1,1,1
70,the expansion of communism into Eastern Europe was a direct result of,World War II,the expansion of communism into Eastern Europe was a direct result of,World War II,The expansion of communism into Eastern Europe was a direct result of what war?,How was communism spread into eastern Europe Brainly?,Which was a major reason for the success of Soviet domination in Eastern Europe after World War II?,,1,1,0
71,for the economy as a whole,income must equal expenditure,for the economy as a whole,income must equal expenditure,Why must an economy's income equal its expenditure quizlet?,Does expenditure have to equal income?,Is it correct to assume that total income equals total expenditure for the whole economy?,,1,1,1
72,"suppose that the central bank must follow a rule that requires it to increase the money supply when the price level falls and decrease the money supply when the price level rises. If the economy starts from long-run equilibrium and aggregate supply shifts right, the central bank must","increase the money supply, which will move output further from its long-run level","suppose that the central bank must follow a rule that requires it to increase the money supply when the price level falls and decrease the money supply when the price level rises. If the economy starts from long-run equilibrium and aggregate supply shifts right, the central bank must","increase the money supply, which will move output further from its long-run level",How would an increase in money supply move the economy in the short and long run?,What impact does an increase in the money supply have in the long run?,How does increase in money supply affect price level?,,1,1,1
73,What was one reason the Nazi programs and policies of the early 1930 s appealed to many people in Germany?,the people were frustrated with their current economic and political situation,What was one reason the Nazi programs and policies of the early 1930 s appealed to many people in Germany?,the people were frustrated with their current economic and political situation,What was one reason the Nazi programs and policies of the early 1930 s appealed to many people in Germany?,,,,1,,
74,a demand curve is the,downward-sloping line relating the price of the good with the quantity demanded,a demand curve is the,downward-sloping line relating the price of the good with the quantity demanded,What is a demand curve ?,,,RULE BASED,1,0,0
75,a major result of the Age of Exploration was,the end of regional isolation and the beginning of a period of European global domination,a major result of the Age of Exploration was,the end of regional isolation and the beginning of a period of European global domination,What was a major result of the Age of Exploration?,,,RULE BASED,1,0,0
76,the process of changing your behavior to match that of others in a group is,conformity,the process of changing your behavior to match that of others in a group is,conformity,What is the process of changing your behavior to match that of others in a group?,,,RULE BASED,0,1,1
77,"a corporation has a price of $25, a dividend of $.50, and retained earnings of $.30 per share. The dividend yield on this stock is",2 percent,"a corporation has a price of $25, a dividend of $.50, and retained earnings of $.30 per share. The dividend yield on this stock is",2 percent,"a corporation has a price of $ 25 , a dividend of $ .50 , and retained earnings of $ .30 per share, what is The dividend yield on this stock?",,,RULE BASED,1,0,0
78,Which is generally a characteristic of a communist economy?,government agencies are involved in production planning,Which is generally a characteristic of a communist economy?,government agencies are involved in production planning,Which is generally a characteristic of a communist economy?,,,,1,,
79,the problems of observers seeing only what they expect to see is called,observer bias,the problems of observers seeing only what they expect to see is called,observer bias,What is the problems of observers seeing only what they expect to see called?,,,RULE BASED,1,0,0
80,"in addition to fighting segregation and discrimination, civil rights interest groups have alsofocused on",broader economic problems,"in addition to fighting segregation and discrimination, civil rights interest groups have alsofocused on",broader economic problems,,,,RULE BASED,0,0,0
81,the Masters and Johnson studies differed from earlier studies because they included,observations of actual sexual behaviors,the Masters and Johnson studies differed from earlier studies because they included,observations of actual sexual behaviors,What is true of Masters and Johnson's study of human sexual response?,What did the Masters and Johnson studies include?,What was Masters and Johnson study?,,1,1,1
82,Approximately what percentage of the annual federal budget pays interest on the nationaldebt?,9,Approximately what percentage of the annual federal budget pays interest on the nationaldebt?,9,Approximately what percentage of the annual federal budget pays interest on the nationaldebt?,,,,1,,
83,"one similarity between the Ancient African kingdoms of Egypt, Ghana, Mali and Songhai is that all of these kingdoms were located",on major trading routes,"one similarity between the Ancient African kingdoms of Egypt, Ghana, Mali and Songhai is that all of these kingdoms were located",on major trading routes,What did the ancient African kingdoms of Ghana Mali Songhai and Egypt have in common?,How were the ancient African kingdoms of Ghana and Mali similar?,How are the African kingdoms of Ghana Mali and Songhai similar?,,1,1,1
84,"Karen smokes two packs of cigarettes a day. However, she is aware that smoking is harmful to her health; therefore, she holds two conflicting or dissonant thoughts. If Karen were to reduce her cognitive dissonance by changing her attitude, she might say to herself,","""Smoking really isn't that dangerous.""","Karen smokes two packs of cigarettes a day. However, she is aware that smoking is harmful to her health; therefore, she holds two conflicting or dissonant thoughts. If Karen were to reduce her cognitive dissonance by changing her attitude, she might say to herself,","""Smoking really isn't that dangerous.""","Karen smokes two packs of cigarettes a day. However, she is aware that smoking is harmful to her health; therefore, she holds two conflicting or dissonant thoughts. If Karen were to reduce her cognitive dissonance by changing her attitude, she might say to herself,",,,,1,,
85,the Federal Election Campaign Act,required all candidates for federal office to disclose all contributions made to their campaigns,the Federal Election Campaign Act,required all candidates for federal office to disclose all contributions made to their campaigns,What established the requirement that candidates disclose the source of campaign contributions?,What was required in the 1974 Federal Elections Campaign Act?,What did the Federal Election Campaign Act do?,,1,1,1
86,the most pervasive characteristic of American international economic policy is,pluralism,the most pervasive characteristic of American international economic policy is,pluralism,What is the most pervasive characteristic of American international economic policy?,,,RULE BASED,1,1,0
87,"From Stetin in the Baltic to Trieste in the Adriatic, an Iron Curtain has descended across the continent. Behind that line lie all the capitals of the ancient states of Central and Eastern Europe. Warsaw, Berlin, Prague, Vienna, Budapest, Belgrade, Bucharest and Sofia, all these famous cities and the populations around them lie in what I might call the Soviet Sphere, and all are subject, in one form or another, not only to Soviet influence, but to very high, and in some cases increasing measure of control from Moscow.""",The Soviet Union has expanded its influence throughout Eastern Europe,"From Stetin in the Baltic to Trieste in the Adriatic, an Iron Curtain has descended across the continent. Behind that line lie all the capitals of the ancient states of Central and Eastern Europe. Warsaw, Berlin, Prague, Vienna, Budapest, Belgrade, Bucharest and Sofia, all these famous cities and the populations around them lie in what I might call the Soviet Sphere, and all are subject, in one form or another, not only to Soviet influence, but to very high, and in some cases increasing measure of control from Moscow.""",The Soviet Union has expanded its influence throughout Eastern Europe,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,,,
88,barter,None of the above is correct,barter,None of the above is correct,None of the above is correct?,Does barter exist today?,How does barter system work?,,0,0,1
89,You are daydreaming in the middle of a lecture. Are you actually thinking?,"Yes, you are thinking and daydreaming is an example of cognition",You are daydreaming in the middle of a lecture. Are you actually thinking?,"Yes, you are thinking and daydreaming is an example of cognition",You are daydreaming in the middle of a lecture. Are you actually thinking?,,,,1,,
90,What should policymakers do if they wish to encourage production (such as medical research) that provides a positive externality?,provide subsidies to firms engaged in medical research,What should policymakers do if they wish to encourage production (such as medical research) that provides a positive externality?,provide subsidies to firms engaged in medical research,What should policymakers do if they wish to encourage production (such as medical research) that provides a positive externality?,,,,1,,
91,"in long-run equilibrium, a perfectly competitive firm produces the level of output at which",average total cost is at a minimum,"in long-run equilibrium, a perfectly competitive firm produces the level of output at which",average total cost is at a minimum,What is the long run equilibrium condition for a perfectly competitive firm?,When a perfectly competitive firm is in long run equilibrium the firm is producing at?,When a perfectly competitive firm is in long-run equilibrium the firm is producing at?,,1,1,1
92,a major contribution of the Roman Republic to Western European culture was the,concept of government by laws,a major contribution of the Roman Republic to Western European culture was the,concept of government by laws,What was a major contribution of the Roman Republic to Western European culture ?,,,RULE BASED,0,1,0
93,two students are suspected of cheating together on an exam. If both confess they each get an F on the exam. If one confesses she gets an F in the course and the other student is expelled. If neither student confesses there is no penalty. Considering only these consequences a student should,confess if he is certain the other will confess,two students are suspected of cheating together on an exam. If both confess they each get an F on the exam. If one confesses she gets an F in the course and the other student is expelled. If neither student confesses there is no penalty. Considering only these consequences a student should,confess if he is certain the other will confess,"If one student confesses he gets an F on the exam and the other student is expelled, what do they do?",How do you get students to confess to cheating?,What happens if you get caught for academic dishonesty?,,1,0,0
94,a price floor is binding if it is,higher than the equilibrium market price,a price floor is binding if it is,higher than the equilibrium market price,What is a price floor is binding if it?,,,RULE BASED,0,0,0
95,Baker Enterprises produces several new products that have low appeal but may benefit consumers in the long run. What is the most accurate classification of these products?,salutary,Baker Enterprises produces several new products that have low appeal but may benefit consumers in the long run. What is the most accurate classification of these products?,salutary,Baker Enterprises produces several new products that have low appeal but may benefit consumers in the long run. What is the most accurate classification of these products?,,,,1,,
96,some scholars have suggested that a consequence of separation of powers and checks andbalances has been,fragmented policymaking processes,some scholars have suggested that a consequence of separation of powers and checks andbalances has been,fragmented policymaking processes,What has been a consequence of separation of powers and checks and balances?,Why did the Founders incorporate separation of powers checks and balances and federalism into the structure of American government?,How do separation of powers and checks and balances relate to Congress?,,1,0,0
97,a key question that confronts government regarding different public policy choices is,whether or not government should do anything about them,a key question that confronts government regarding different public policy choices is,whether or not government should do anything about them,What is a key question that confronts government regarding different public policy choices?,,,RULE BASED,1,1,0
98,feudalism in Western Europe was similar to feudalism in Japan in that,power was based on class relationships,feudalism in Western Europe was similar to feudalism in Japan in that,power was based on class relationships,What were the major similarities of feudalism in Western Europe to that of Japan?,How was Japanese feudalism similar to European feudalism?,How was feudalism in medieval Europe similar to feudalism in Japan?,,1,1,1
99,"according to this scenario, if Holland imposes a $15 tariff on scanners, the result in Holland would be that the price of scanners will be",$125 and the quantity purchased will fall,"according to this scenario, if Holland imposes a $15 tariff on scanners, the result in Holland would be that the price of scanners will be",$125 and the quantity purchased will fall,"according to this scenario , if Holland imposes a $ 15 tariff on scanners , what will be the result in Holland would be that the price of scanners?",,,RULE BASED,1,0,0
100,"one similarity between Axum, Kush, and Nubia was that they were",early civilizations in Africa,"one similarity between Axum, Kush, and Nubia was that they were",early civilizations in Africa,"one similarity between Axum , Kush, what were and Nubia was that they?",,,RULE BASED,1,0,0
101,An amateur video showing the result of mixing Diet Coke with Mentos candies exemplifies which growing trend in advertising?,consumer-generated messages,An amateur video showing the result of mixing Diet Coke with Mentos candies exemplifies which growing trend in advertising?,consumer-generated messages,An amateur video showing the result of mixing Diet Coke with Mentos candies exemplifies which growing trend in advertising?,,,,1,,
102,"according to the Constitution, once impeached, federal officials are then tried in the",Senate,"according to the Constitution, once impeached, federal officials are then tried in the",Senate,"according to the Constitution , once impeachedWhere are , federal officials then tried?",,,RULE BASED,1,0,0
